"Title","Release Date","Budget","Domestic Gross","Worldwide Gross","Budget_Mill","Domestic_Mill","WorldWide_Mill","Budget_Mill_sqrt","Domestic_Mill_sqrt","Budget_Mill_Log10","Domestic_Mill_Log10","WorldWide_Mill_sqrt","WorldWide_Mill_Log10"
"Avatar","12/18/2009",425000000,760507625,2783918982,425,760.507625,2783.918982,20.615528128088304,27.577302714370017,2.6283889300503116,2.8811035727332954,52.76285608266482,3.444656592223611
"Star Wars Episode VII: The Force Awakens","12/18/2015",306000000,936283302,2058283302,306,936.283302,2058.283302,17.4928556845359,30.598746739041456,2.48572142648158,2.971407278096173,45.3683072419503,3.3135051508090942
"Pirates of the Caribbean: At World's End","5/24/2007",300000000,309420425,963420425,300,309.420425,963.420425,17.320508075688775,17.590350337614087,2.4771212547196626,2.4905489783097434,31.0390145623214,2.9838158493385594
"Spectre","11/6/2015",300000000,200074175,879620923,300,200.074175,879.620923,17.320508075688775,14.144757862897476,2.4771212547196626,2.3011910347691136,29.65840391861976,2.944295551106413
"The Dark Knight Rises","7/20/2012",275000000,448139099,1084439099,275,448.139099,1084.439099,16.583123951777,21.169296138511548,2.439332693830263,2.6514128366583556,32.93082293232284,3.0352051674973746
"The Lone Ranger","7/2/2013",275000000,89289910,259989910,275,89.28991,259.98991,16.583123951777,9.44933383895394,2.439332693830263,1.950802385216612,16.124202615943524,2.414956493677153
"John Carter","3/9/2012",275000000,73058679,282778100,275,73.058679,282.7781,16.583123951777,8.547436984266103,2.439332693830263,1.8636718153136582,16.81600725499368,2.45144577210704
"Tangled","11/24/2010",260000000,200821936,586581936,260,200.821936,586.581936,16.1245154965971,14.171165654243126,2.4149733479708178,2.302811149525925,24.21945366848724,2.7683286845969435
"Spider-Man 3","5/4/2007",258000000,336530303,890875303,258,336.530303,890.875303,16.06237840420901,18.344762277009753,2.41161970596323,2.5270241765336943,29.847534286771495,2.9498169195150767
"The Avengers: Age of Ultron","5/1/2015",250000000,459005868,1404705868,250,459.005868,1404.705868,15.811388300841896,21.424422232583076,2.3979400086720375,2.6618182376586774,37.47940591845074,3.1475853966415426
"Batman v Superman: Dawn of Justice","3/25/2016",250000000,327250133,865050133,250,327.250133,865.050133,15.811388300841896,18.090056191178622,2.3979400086720375,2.514879831727467,29.41173461392578,2.9370412772386283
"The Hobbit: An Unexpected Journey","12/14/2012",250000000,303003568,1017003568,250,303.003568,1017.003568,15.811388300841896,17.406997673349647,2.3979400086720375,2.4814477425405492,31.89049337968919,3.007322476580555
"Harry Potter and the Half-Blood Prince","7/15/2009",250000000,301959197,935083686,250,301.959197,935.083686,15.811388300841896,17.376973182922278,2.3979400086720375,2.4799482617817996,30.579138084648495,2.970850480114904
"The Hobbit: The Desolation of Smaug","12/13/2013",250000000,258366855,960366855,250,258.366855,960.366855,15.811388300841896,16.073794044966483,2.3979400086720375,2.4122367987429922,30.98978630129611,2.982437162902065
"The Hobbit: The Battle of the Five Armies","12/17/2014",250000000,255119788,955119788,250,255.119788,955.119788,15.811388300841896,15.972469690063587,2.3979400086720375,2.4067441453440734,30.905012344278393,2.9800578427931366
"Pirates of the Caribbean: On Stranger Tides","5/20/2011",250000000,241063875,1045663875,250,241.063875,1045.663875,15.811388300841896,15.526231835187827,2.3979400086720375,2.3821321333818446,32.33672641131133,3.0193921045196377
"Captain America: Civil War","5/6/2016",250000000,181791000,678391000,250,181.791,678.391,15.811388300841896,13.482989282796304,2.3979400086720375,2.259572378626933,26.0459401826849,2.8314800776385978
"Superman Returns","6/28/2006",232000000,200120000,374085065,232,200.12,374.085065,15.231546211727817,14.146377628212814,2.3654879848909,2.3012904942113717,19.341278783989438,2.5729703697390685
"Quantum of Solace","11/14/2008",230000000,169368427,591692078,230,169.368427,591.692078,15.165750888103101,13.014162554694021,2.361727836017593,2.2288324540604227,24.324721540030012,2.7720957546683973
"The Avengers","5/4/2012",225000000,623279547,1519479547,225,623.279547,1519.479547,15,24.965567227683813,2.3521825181113627,2.794682875695498,38.9805021388899,3.1816948586214107
"Pirates of the Caribbean: Dead Man's Chest","7/7/2006",225000000,423315812,1066215812,225,423.315812,1066.215812,15,20.574640021152252,2.3521825181113627,2.626664490860248,32.652960233338725,3.027845118831815
"Man of Steel","6/14/2013",225000000,291045518,667999518,225,291.045518,667.999518,15,17.060056213271984,2.3521825181113627,2.463960915688051,25.845686642068536,2.8247761491072585
"The Chronicles of Narnia: Prince Caspian","5/16/2008",225000000,141621490,417341288,225,141.62149,417.341288,15,11.90048276331679,2.3521825181113627,2.151129159287894,20.428932620183563,2.6204913520339375
"The Amazing Spider-Man","7/3/2012",220000000,262030663,757890267,220,262.030663,757.890267,14.832396974191326,16.18736121176024,2.342422680822206,2.4183521157185988,27.52980688272259,2.8796063297926824
"Jurassic World","6/12/2015",215000000,652198010,1670328025,215,652.19801,1670.328025,14.66287829861518,25.53816771031156,2.3324384599156054,2.8143794693436925,40.869646744252634,3.2228017678291176
"Men in Black 3","5/25/2012",215000000,179020854,654213485,215,179.020854,654.213485,14.66287829861518,13.379867488133058,2.3324384599156054,2.252903624553059,25.577597326566856,2.815719491792524
"Transformers: Revenge of the Fallen","6/24/2009",210000000,402111870,836519699,210,402.11187,836.519699,14.491376746189438,20.052727245938392,2.322219294733919,2.6043468932954323,28.922650276210856,2.9224761725145116
"Transformers: Age of Extinction","6/27/2014",210000000,245439076,1104039076,210,245.439076,1104.039076,14.491376746189438,15.666495332396458,2.322219294733919,2.389943707291472,33.22708347116852,3.0429844449428605
"X-Men: The Last Stand","5/26/2006",210000000,234362462,459359555,210,234.362462,459.359555,14.491376746189438,15.308901397552994,2.322219294733919,2.3698880516643674,21.43267493804728,2.662152754434175
"Robin Hood","5/14/2010",210000000,105269730,322241588,210,105.26973,322.241588,14.491376746189438,10.260103800644513,2.322219294733919,2.022303509040697,17.9510887692084,2.5081815890731822
"Battleship","5/18/2012",209000000,65233400,305218228,209,65.2334,305.218228,14.45683229480096,8.076719631137385,2.3201462861110542,1.814470014775089,17.47049592885102,2.4846104666466218
"King Kong","12/14/2005",207000000,218080025,550517357,207,218.080025,550.517357,14.38749456993816,14.76753280003129,2.315970345456918,2.3386158882767383,23.46310629477691,2.74077101618786
"The Golden Compass","12/1/2007",205000000,70107728,367262558,205,70.107728,367.262558,14.317821063276353,8.373035769659651,2.311753861055754,1.8457658930418406,19.164095543489655,2.5649766547736874
"Titanic","12/19/1997",200000000,658672302,2207615668,200,658.672302,2207.615668,14.142135623730951,25.66461186147182,2.3010299956639813,2.8186694011954603,46.985270755844326,3.3439234677006167
"Toy Story 3","6/18/2010",200000000,415004880,1069818229,200,415.00488,1069.818229,14.142135623730951,20.37166856200051,2.3010299956639813,2.618053203566577,32.7080758987746,3.0293099937147865
"Iron Man 3","5/3/2013",200000000,408992272,1215392272,200,408.992272,1215.392272,14.142135623730951,20.223557352750777,2.3010299956639813,2.6117151019939815,34.862476561483696,3.0847164705842562
"Spider-Man 2","6/30/2004",200000000,373524485,783705001,200,373.524485,783.705001,14.142135623730951,19.326781547893585,2.3010299956639813,2.5723190756342973,27.994731665082988,2.8941526181087083
"Alice in Wonderland","3/5/2010",200000000,334191110,1025491110,200,334.19111,1025.49111,14.142135623730951,18.28089467176046,2.3010299956639813,2.5239948928066354,32.02329011828734,3.0109318998144006
"Skyfall","11/8/2012",200000000,304360277,1110526981,200,304.360277,1110.526981,14.142135623730951,17.445924366453042,2.3010299956639813,2.483387970682544,33.32457022978691,3.0455291144892387
"Monsters University","6/21/2013",200000000,268488329,743588329,200,268.488329,743.588329,14.142135623730951,16.3856134764616,2.3010299956639813,2.4289254119683044,27.26881605424042,2.871332564678834
"Oz the Great and Powerful","3/8/2013",200000000,234770996,490359051,200,234.770996,490.359051,14.142135623730951,15.32223860928944,2.3010299956639813,2.3706444424256468,22.14405227143397,2.6905141958756307
"X-Men: Days of Future Past","5/23/2014",200000000,233921534,747862775,200,233.921534,747.862775,14.142135623730951,15.294493584293663,2.3010299956639813,2.3690702032837123,27.347079825824185,2.8738219166778682
"The Amazing Spider-Man 2","5/2/2014",200000000,202853933,708996336,200,202.853933,708.996336,14.142135623730951,14.24267997955441,2.3010299956639813,2.307183432368858,26.626985109095624,2.85064399081199
"Cars 2","6/24/2011",200000000,191450875,560155383,200,191.450875,560.155383,14.142135623730951,13.836577430853339,2.3010299956639813,2.2820573555716837,23.66760196978139,2.7483085138260446
"Tron: Legacy","12/17/2010",200000000,172062763,397562763,200,172.062763,397.562763,14.142135623730951,13.117269647300843,2.3010299956639813,2.235686892562245,19.938975976714552,2.5994057002198647
"2012","11/13/2009",200000000,166112167,788408539,200,166.112167,788.408539,14.142135623730951,12.888450915451399,2.3010299956639813,2.2204014438146653,28.078613551954447,2.8967513193371093
"Terminator Salvation","5/21/2009",200000000,125322469,365491792,200,125.322469,365.491792,14.142135623730951,11.194751850755782,2.3010299956639813,2.098028942405911,19.117839626903454,2.5628776282729926
"Green Lantern","6/17/2011",200000000,116601172,231201172,200,116.601172,231.201172,14.142135623730951,10.798202257783469,2.3010299956639813,2.066702915693791,15.20530078623899,2.3639900312703026
"Prince of Persia: Sands of Time","5/28/2010",200000000,90759676,314594597,200,90.759676,314.594597,14.142135623730951,9.52678728638359,2.3010299956639813,1.9578929368419937,17.736814736586727,2.497751259567511
"Independence Day: Resurgence","6/24/2016",200000000,0,0,200,0,0,14.142135623730951,0,2.3010299956639813,,0,
"Transformers: Dark of the Moon","6/29/2011",195000000,352390543,1123790543,195,352.390543,1123.790543,13.96424004376894,18.772068159901828,2.290034611362518,2.5470242448647955,33.522985293675745,3.0506853730692596
"Jack the Giant Slayer","3/1/2013",195000000,65187603,197687603,195,65.187603,197.687603,13.96424004376894,8.07388400957061,2.290034611362518,1.8141650119803288,14.060142353475657,2.2959794355377365
"Furious 7","4/3/2015",190000000,351032910,1514019071,190,351.03291,1514.019071,13.784048752090222,18.73587227753221,2.278753600952829,2.5453478343045646,38.910397980488455,3.1801313456910685
"Star Trek Into Darkness","5/15/2013",190000000,228778661,467381584,190,228.778661,467.381584,13.784048752090222,15.125430936009725,2.278753600952829,2.3594155138179356,21.61900978305898,2.66967159610767
"World War Z","6/21/2013",190000000,202359711,531514650,190,202.359711,531.51465,13.784048752090222,14.225319363726074,2.278753600952829,2.306124050499354,23.05460149297749,2.725515239370089
"The Great Gatsby","5/10/2013",190000000,144840419,351040419,190,144.840419,351.040419,13.784048752090222,12.03496651428661,2.278753600952829,2.1608897724907674,18.73607266745088,2.5453571242665385
"Disney's A Christmas Carol","11/6/2009",190000000,137855863,315709697,190,137.855863,315.709697,13.784048752090222,11.741203643579308,2.278753600952829,2.139425241347852,17.768221548596248,2.49928792141998
"Pacific Rim","7/12/2013",190000000,101802906,411002906,190,101.802906,411.002906,13.784048752090222,10.08974261316908,2.278753600952829,2.007760175267452,20.273206603791124,2.6138448925702362
"The Good Dinosaur","11/25/2015",187500000,123087120,334304689,187.5,123.08712,334.304689,13.693063937629153,11.094463484098725,2.2730012720637376,2.090212610156471,18.284000902428332,2.5241424681048152
"Iron Man","5/2/2008",186000000,318604126,582443126,186,318.604126,582.443126,13.638181696985855,17.84948531470866,2.2695129442179165,2.5032513957194427,24.133858497969197,2.765253524083856
"The Dark Knight","7/18/2008",185000000,533345358,1002891358,185,533.345358,1002.891358,13.601470508735444,23.09427110778775,2.2671717284030137,2.7270085195378435,31.66845998781753,3.001253888975923
"Indiana Jones and the Kingdom of the Crystal Skull","5/22/2008",185000000,317023851,786558145,185,317.023851,786.558145,13.601470508735444,17.805163604977068,2.2671717284030137,2.5010919371957554,28.045643957663014,2.895730832641784
"Brave","6/22/2012",185000000,237282182,554606532,185,237.282182,554.606532,13.601470508735444,15.403966437252452,2.2671717284030137,2.375265127388801,23.550085604939955,2.7439849802704224
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","12/9/2005",180000000,291710957,720539572,180,291.710957,720.539572,13.416407864998739,17.079547915562635,2.255272505103306,2.4649527420297495,26.8428681775998,2.8576578372378703
"Maleficent","5/30/2014",180000000,241407328,758536735,180,241.407328,758.536735,13.416407864998739,15.537288309096926,2.255272505103306,2.3827504491153477,27.541545617484868,2.8799766179790116
"WALL-E","6/27/2008",180000000,223808164,532590994,180,223.808164,532.590994,13.416407864998739,14.960219383418146,2.255272505103306,2.349875924531394,23.077933053027085,2.726393818338046
"Rush Hour 3","8/10/2007",180000000,140125968,256585882,180,140.125968,256.585882,13.416407864998739,11.83748148889788,2.255272505103306,2.146518625750087,16.01829834907566,2.409232756722565
"Hugo","11/23/2011",180000000,73864507,180047784,180,73.864507,180.047784,13.416407864998739,8.59444628815609,2.255272505103306,1.8684358035249833,13.418188551365644,2.2553877805115565
"Valerian and the City of a Thousand Planets","7/21/2017",180000000,0,0,180,0,0,13.416407864998739,0,2.255272505103306,,0,
"Jupiter Ascending","2/6/2015",179000000,47482519,181982519,179,47.482519,181.982519,13.379088160259652,6.89075605430928,2.2528530309798933,1.676533750694954,13.490089658708722,2.2600296722352917
"Edge of Tomorrow","6/6/2014",178000000,100206256,364406256,178,100.206256,364.406256,13.341664064126334,10.010307487784779,2.250420002308894,2.000894835917114,19.089427859419988,2.5615858241817424
"Inside Out","6/19/2015",175000000,356461711,853923085,175,356.461711,853.923085,13.228756555322953,18.880193616591963,2.2430380486862944,2.5520128873590937,29.221962374214364,2.931418754454332
"Up","5/29/2009",175000000,293004164,731542621,175,293.004164,731.542621,13.228756555322953,17.117364399930263,2.2430380486862944,2.4668737923314903,27.04704458901194,2.864239633982707
"The Jungle Book","4/15/2016",175000000,284985265,776185265,175,284.985265,776.185265,13.228756555322953,16.881506597457467,2.2430380486862944,2.4548224056414054,27.860101668874073,2.8899653938923593
"Monsters vs. Aliens","3/27/2009",175000000,198351526,381687380,175,198.351526,381.68738,13.228756555322953,14.083732672839258,2.2430380486862944,2.297435546029378,19.53682113343929,2.5817078008006358
"G.I. Joe: The Rise of Cobra","8/7/2009",175000000,150201498,302469017,175,150.201498,302.469017,13.228756555322953,12.255672074594685,2.2430380486862944,2.1766742640256043,17.391636409492925,2.4806808949056127
"Wild Wild West","6/30/1999",175000000,113805681,221229335,175,113.805681,221.229335,13.228756555322953,10.667974550025885,2.2430380486862944,2.0561639418953495,14.873780118046655,2.3448427138800643
"The Mummy: Tomb of the Dragon Emperor","8/1/2008",175000000,102277510,405545959,175,102.27751,405.545959,13.228756555322953,10.11323439854926,2.2430380486862944,2.0097801463544602,20.138171689604793,2.608040078298272
"Evan Almighty","6/22/2007",175000000,100289690,174131329,175,100.28969,174.131329,13.228756555322953,10.014474025129827,2.2430380486862944,2.00125628889028,13.195883032218799,2.240876914642782
"Waterworld","7/28/1995",175000000,88214660,264214660,175,88.21466,264.21466,13.228756555322953,9.392265967273286,2.2430380486862944,1.9455407645881002,16.254681171896298,2.421956910857884
"47 Ronin","12/25/2013",175000000,38362475,151659062,175,38.362475,151.659062,13.228756555322953,6.193744828453946,2.2430380486862944,1.5839066184195967,12.314993382052627,2.180868365579834
"Singularity","12/31/2020",175000000,0,0,175,0,0,13.228756555322953,0,2.2430380486862944,,0,
"Guardians of the Galaxy","8/1/2014",170000000,333172112,771172112,170,333.172112,771.172112,13.038404810405298,18.25300282145379,2.230448921378274,2.522668641860215,27.769985812023744,2.8871513157294406
"Iron Man 2","5/7/2010",170000000,312128345,623256345,170,312.128345,623.256345,13.038404810405298,17.667154411506115,2.230448921378274,2.494333209607727,24.965102543350387,2.7946667084906305
"Captain America: The Winter Soldier","4/4/2014",170000000,259746958,714401889,170,259.746958,714.401889,13.038404810405298,16.1166670872113,2.230448921378274,2.4145504700634786,26.728297532764785,2.853942594230422
"Dawn of the Planet of the Apes","7/11/2014",170000000,208545589,703545589,170,208.545589,703.545589,13.038404810405298,14.44110760987536,2.230448921378274,2.3192010084076045,26.52443381111084,2.847292244499468
"The Polar Express","11/10/2004",170000000,194949659,319090241,170,194.949659,319.090241,13.038404810405298,13.96243743047753,2.230448921378274,2.2899224798700017,17.863097183859242,2.5039135220103086
"Snow White and the Huntsman","6/1/2012",170000000,155136755,401016924,170,155.136755,401.016924,13.038404810405298,12.45539060005747,2.230448921378274,2.1907147030529086,20.02540696215685,2.6031627014099943
"Terminator 3: Rise of the Machines","7/1/2003",170000000,150358296,433058296,170,150.358296,433.058296,13.038404810405298,12.262067362398561,2.230448921378274,2.1771273952408268,20.810052763027777,2.636546362697426
