Title,Release Date,Budget,Domestic Gross,Worldwide Gross
Avatar,12/18/2009,"$425,000,000","$760,507,625","$2,783,918,982"
Star Wars Episode VII: The Force Awakens,12/18/2015,"$306,000,000","$936,283,302","$2,058,283,302"
Pirates of the Caribbean: At World's End,5/24/2007,"$300,000,000","$309,420,425","$963,420,425"
Spectre,11/6/2015,"$300,000,000","$200,074,175","$879,620,923"
The Dark Knight Rises,7/20/2012,"$275,000,000","$448,139,099","$1,084,439,099"
The Lone Ranger,7/2/2013,"$275,000,000","$89,289,910","$259,989,910"
John Carter,3/9/2012,"$275,000,000","$73,058,679","$282,778,100"
Tangled,11/24/2010,"$260,000,000","$200,821,936","$586,581,936"
Spider-Man 3,5/4/2007,"$258,000,000","$336,530,303","$890,875,303"
The Avengers: Age of Ultron,5/1/2015,"$250,000,000","$459,005,868","$1,404,705,868"
Batman v Superman: Dawn of Justice,3/25/2016,"$250,000,000","$327,250,133","$865,050,133"
The Hobbit: An Unexpected Journey,12/14/2012,"$250,000,000","$303,003,568","$1,017,003,568"
Harry Potter and the Half-Blood Prince,7/15/2009,"$250,000,000","$301,959,197","$935,083,686"
The Hobbit: The Desolation of Smaug,12/13/2013,"$250,000,000","$258,366,855","$960,366,855"
The Hobbit: The Battle of the Five Armies,12/17/2014,"$250,000,000","$255,119,788","$955,119,788"
Pirates of the Caribbean: On Stranger Tides,5/20/2011,"$250,000,000","$241,063,875","$1,045,663,875"
Captain America: Civil War,5/6/2016,"$250,000,000","$181,791,000","$678,391,000"
Superman Returns,6/28/2006,"$232,000,000","$200,120,000","$374,085,065"
Quantum of Solace,11/14/2008,"$230,000,000","$169,368,427","$591,692,078"
The Avengers,5/4/2012,"$225,000,000","$623,279,547","$1,519,479,547"
Pirates of the Caribbean: Dead Man's Chest,7/7/2006,"$225,000,000","$423,315,812","$1,066,215,812"
Man of Steel,6/14/2013,"$225,000,000","$291,045,518","$667,999,518"
The Chronicles of Narnia: Prince Caspian,5/16/2008,"$225,000,000","$141,621,490","$417,341,288"
The Amazing Spider-Man,7/3/2012,"$220,000,000","$262,030,663","$757,890,267"
Jurassic World,6/12/2015,"$215,000,000","$652,198,010","$1,670,328,025"
Men in Black 3,5/25/2012,"$215,000,000","$179,020,854","$654,213,485"
Transformers: Revenge of the Fallen,6/24/2009,"$210,000,000","$402,111,870","$836,519,699"
Transformers: Age of Extinction,6/27/2014,"$210,000,000","$245,439,076","$1,104,039,076"
X-Men: The Last Stand,5/26/2006,"$210,000,000","$234,362,462","$459,359,555"
Robin Hood,5/14/2010,"$210,000,000","$105,269,730","$322,241,588"
Battleship,5/18/2012,"$209,000,000","$65,233,400","$305,218,228"
King Kong,12/14/2005,"$207,000,000","$218,080,025","$550,517,357"
The Golden Compass,12/1/2007,"$205,000,000","$70,107,728","$367,262,558"
Titanic,12/19/1997,"$200,000,000","$658,672,302","$2,207,615,668"
Toy Story 3,6/18/2010,"$200,000,000","$415,004,880","$1,069,818,229"
Iron Man 3,5/3/2013,"$200,000,000","$408,992,272","$1,215,392,272"
Spider-Man 2,6/30/2004,"$200,000,000","$373,524,485","$783,705,001"
Alice in Wonderland,3/5/2010,"$200,000,000","$334,191,110","$1,025,491,110"
Skyfall,11/8/2012,"$200,000,000","$304,360,277","$1,110,526,981"
Monsters University,6/21/2013,"$200,000,000","$268,488,329","$743,588,329"
Oz the Great and Powerful,3/8/2013,"$200,000,000","$234,770,996","$490,359,051"
X-Men: Days of Future Past,5/23/2014,"$200,000,000","$233,921,534","$747,862,775"
The Amazing Spider-Man 2,5/2/2014,"$200,000,000","$202,853,933","$708,996,336"
Cars 2,6/24/2011,"$200,000,000","$191,450,875","$560,155,383"
Tron: Legacy,12/17/2010,"$200,000,000","$172,062,763","$397,562,763"
2012,11/13/2009,"$200,000,000","$166,112,167","$788,408,539"
Terminator Salvation,5/21/2009,"$200,000,000","$125,322,469","$365,491,792"
Green Lantern,6/17/2011,"$200,000,000","$116,601,172","$231,201,172"
Prince of Persia: Sands of Time,5/28/2010,"$200,000,000","$90,759,676","$314,594,597"
Independence Day: Resurgence,6/24/2016,"$200,000,000",$0,$0
Transformers: Dark of the Moon,6/29/2011,"$195,000,000","$352,390,543","$1,123,790,543"
Jack the Giant Slayer,3/1/2013,"$195,000,000","$65,187,603","$197,687,603"
Furious 7,4/3/2015,"$190,000,000","$351,032,910","$1,514,019,071"
Star Trek Into Darkness,5/15/2013,"$190,000,000","$228,778,661","$467,381,584"
World War Z,6/21/2013,"$190,000,000","$202,359,711","$531,514,650"
The Great Gatsby,5/10/2013,"$190,000,000","$144,840,419","$351,040,419"
Disney's A Christmas Carol,11/6/2009,"$190,000,000","$137,855,863","$315,709,697"
Pacific Rim,7/12/2013,"$190,000,000","$101,802,906","$411,002,906"
The Good Dinosaur,11/25/2015,"$187,500,000","$123,087,120","$334,304,689"
Iron Man,5/2/2008,"$186,000,000","$318,604,126","$582,443,126"
The Dark Knight,7/18/2008,"$185,000,000","$533,345,358","$1,002,891,358"
Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,"$185,000,000","$317,023,851","$786,558,145"
Brave,6/22/2012,"$185,000,000","$237,282,182","$554,606,532"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/9/2005,"$180,000,000","$291,710,957","$720,539,572"
Maleficent,5/30/2014,"$180,000,000","$241,407,328","$758,536,735"
WALL-E,6/27/2008,"$180,000,000","$223,808,164","$532,590,994"
Rush Hour 3,8/10/2007,"$180,000,000","$140,125,968","$256,585,882"
Hugo,11/23/2011,"$180,000,000","$73,864,507","$180,047,784"
Valerian and the City of a Thousand Planets,7/21/2017,"$180,000,000",$0,$0
Jupiter Ascending,2/6/2015,"$179,000,000","$47,482,519","$181,982,519"
Edge of Tomorrow,6/6/2014,"$178,000,000","$100,206,256","$364,406,256"
Inside Out,6/19/2015,"$175,000,000","$356,461,711","$853,923,085"
Up,5/29/2009,"$175,000,000","$293,004,164","$731,542,621"
The Jungle Book,4/15/2016,"$175,000,000","$284,985,265","$776,185,265"
Monsters vs. Aliens,3/27/2009,"$175,000,000","$198,351,526","$381,687,380"
G.I. Joe: The Rise of Cobra,8/7/2009,"$175,000,000","$150,201,498","$302,469,017"
Wild Wild West,6/30/1999,"$175,000,000","$113,805,681","$221,229,335"
The Mummy: Tomb of the Dragon Emperor,8/1/2008,"$175,000,000","$102,277,510","$405,545,959"
Evan Almighty,6/22/2007,"$175,000,000","$100,289,690","$174,131,329"
Waterworld,7/28/1995,"$175,000,000","$88,214,660","$264,214,660"
47 Ronin,12/25/2013,"$175,000,000","$38,362,475","$151,659,062"
Singularity,12/31/2020,"$175,000,000",$0,$0
Guardians of the Galaxy,8/1/2014,"$170,000,000","$333,172,112","$771,172,112"
Iron Man 2,5/7/2010,"$170,000,000","$312,128,345","$623,256,345"
Captain America: The Winter Soldier,4/4/2014,"$170,000,000","$259,746,958","$714,401,889"
Dawn of the Planet of the Apes,7/11/2014,"$170,000,000","$208,545,589","$703,545,589"
The Polar Express,11/10/2004,"$170,000,000","$194,949,659","$319,090,241"
Snow White and the Huntsman,6/1/2012,"$170,000,000","$155,136,755","$401,016,924"
Terminator 3: Rise of the Machines,7/1/2003,"$170,000,000","$150,358,296","$433,058,296"
Van Helsing,5/7/2004,"$170,000,000","$120,150,546","$300,150,546"
Tomorrowland,5/22/2015,"$170,000,000","$93,436,322","$205,336,322"
Shrek Forever After,5/21/2010,"$165,000,000","$238,395,990","$755,903,876"
Big Hero 6,11/7/2014,"$165,000,000","$222,527,828","$652,127,828"
How to Train Your Dragon,3/26/2010,"$165,000,000","$217,581,231","$494,870,991"
Wreck-It Ralph,11/2/2012,"$165,000,000","$189,412,677","$496,511,521"
Interstellar,11/5/2014,"$165,000,000","$188,017,894","$665,417,894"
Cowboys and Aliens,7/29/2011,"$163,000,000","$100,240,551","$175,910,315"
Shrek the Third,5/17/2007,"$160,000,000","$321,012,359","$805,623,351"
Inception,7/16/2010,"$160,000,000","$292,576,195","$832,584,416"
The Hunger Games: Mockingjay - Part 2,11/20/2015,"$160,000,000","$281,723,902","$650,523,427"
Fast and Furious 6,5/24/2013,"$160,000,000","$238,679,850","$789,952,811"
Godzilla,5/16/2014,"$160,000,000","$200,672,193","$529,072,193"
X-Men: First Class,6/3/2011,"$160,000,000","$146,408,305","$355,408,305"
The Curious Case of Benjamin Button,12/25/2008,"$160,000,000","$127,509,326","$329,809,326"
The Sorcerer's Apprentice,7/14/2010,"$160,000,000","$63,150,991","$217,986,320"
Poseidon,5/12/2006,"$160,000,000","$60,674,817","$181,674,817"
The Chronicles of Narnia: The Voyage of the Dawn Treader,12/10/2010,"$155,000,000","$104,386,950","$418,186,950"
Terminator: Genisys,7/1/2015,"$155,000,000","$89,760,956","$440,160,956"
Alexander,11/24/2004,"$155,000,000","$34,297,191","$167,297,191"
Pearl Harbor,5/25/2001,"$151,500,000","$198,539,855","$449,239,855"
Transformers,7/2/2007,"$151,000,000","$319,071,806","$708,098,205"
Frozen,11/22/2013,"$150,000,000","$400,738,009","$1,274,234,980"
Harry Potter and the Order of the Phoenix,7/11/2007,"$150,000,000","$292,004,738","$942,943,935"
Harry Potter and the Goblet of Fire,11/18/2005,"$150,000,000","$290,013,036","$896,911,078"
The Matrix Reloaded,5/15/2003,"$150,000,000","$281,553,689","$738,576,929"
I am Legend,12/14/2007,"$150,000,000","$256,393,010","$585,532,684"
Hancock,7/1/2008,"$150,000,000","$227,946,274","$624,234,272"
Charlie and the Chocolate Factory,7/15/2005,"$150,000,000","$206,459,076","$475,825,484"
Ratatouille,6/29/2007,"$150,000,000","$206,445,654","$626,549,695"
Thor: The Dark World,11/8/2013,"$150,000,000","$206,360,018","$644,600,394"
Batman Begins,6/15/2005,"$150,000,000","$205,343,774","$359,142,722"
Mission: Impossible - Rogue Nation,7/31/2015,"$150,000,000","$195,042,377","$700,868,363"
Thor,5/6/2011,"$150,000,000","$181,030,624","$449,326,618"
Madagascar: Escape 2 Africa,11/7/2008,"$150,000,000","$180,010,950","$599,516,844"
X-Men Origins: Wolverine,5/1/2009,"$150,000,000","$179,883,157","$374,825,760"
Night at the Museum: Battle of the Smithsonian,5/22/2009,"$150,000,000","$177,243,721","$402,231,063"
Kung Fu Panda 2,5/26/2011,"$150,000,000","$165,249,063","$664,837,547"
Mad Max: Fury Road,5/15/2015,"$150,000,000","$153,636,354","$373,136,354"
The Matrix Revolutions,11/5/2003,"$150,000,000","$139,259,759","$427,289,109"
Mission: Impossible III,5/5/2006,"$150,000,000","$133,501,348","$397,501,348"
Angels & Demons,5/15/2009,"$150,000,000","$133,375,846","$490,875,846"
Troy,5/14/2004,"$150,000,000","$133,298,577","$484,161,265"
The Last Airbender,7/1/2010,"$150,000,000","$131,601,062","$319,542,756"
Bee Movie,11/2/2007,"$150,000,000","$126,631,277","$287,594,577"
G-Force,7/24/2009,"$150,000,000","$119,436,770","$292,817,841"
Bolt,11/21/2008,"$150,000,000","$114,053,759","$328,015,209"
Wrath of the Titans,3/30/2012,"$150,000,000","$83,670,083","$305,270,083"
Beowulf,11/16/2007,"$150,000,000","$82,195,215","$194,995,215"
Dark Shadows,5/11/2012,"$150,000,000","$79,727,149","$238,202,668"
White House Down,6/28/2013,"$150,000,000","$73,103,784","$205,440,387"
The Wolfman,2/12/2010,"$150,000,000","$61,979,680","$142,424,154"
Pan,10/9/2015,"$150,000,000","$35,088,320","$123,888,320"
Mars Needs Moms,3/11/2011,"$150,000,000","$21,392,758","$39,549,758"
Passengers,12/21/2016,"$150,000,000",$0,$0
Flushed Away,11/3/2006,"$149,000,000","$64,665,672","$179,357,126"
Madagascar 3: Europe's Most Wanted,6/8/2012,"$145,000,000","$216,391,482","$746,921,271"
Mission: ImpossibleGhost Protocol,12/16/2011,"$145,000,000","$209,397,903","$694,713,230"
How to Train Your Dragon 2,6/13/2014,"$145,000,000","$177,002,924","$616,102,924"
Tarzan,6/16/1999,"$145,000,000","$171,091,819","$448,191,819"
Mr. Peabody & Sherman,3/7/2014,"$145,000,000","$111,506,430","$269,806,430"
Rise of the Guardians,11/21/2012,"$145,000,000","$103,412,758","$306,900,902"
Sahara,4/8/2005,"$145,000,000","$68,671,925","$121,671,925"
Die Another Day,11/22/2002,"$142,000,000","$160,932,247","$431,932,247"
Star Trek,5/8/2009,"$140,000,000","$257,730,019","$385,680,446"
Armageddon,7/1/1998,"$140,000,000","$201,573,391","$554,595,209"
Men in Black 2,7/3/2002,"$140,000,000","$190,418,803","$441,767,803"
Captain America: The First Avenger,7/22/2011,"$140,000,000","$176,654,505","$370,569,776"
Kung Fu Panda 3,1/29/2016,"$140,000,000","$142,045,950","$509,945,950"
Lethal Weapon 4,7/10/1998,"$140,000,000","$129,734,803","$284,690,200"
G.I. Joe: Retaliation,3/27/2013,"$140,000,000","$122,523,060","$375,740,705"
The Last Samurai,12/5/2003,"$140,000,000","$111,110,575","$456,810,575"
Fun With Dick And Jane,12/21/2005,"$140,000,000","$110,550,000","$203,018,919"
Exodus: Gods and Kings,12/12/2014,"$140,000,000","$65,014,513","$268,314,513"
Gods of Egypt,2/26/2016,"$140,000,000","$31,137,432","$133,537,432"
Spider-Man,5/3/2002,"$139,000,000","$403,706,375","$821,706,375"
Watchmen,3/6/2009,"$138,000,000","$107,509,799","$184,068,357"
Stealth,7/29/2005,"$138,000,000","$31,704,416","$76,004,416"
The Incredible Hulk,6/13/2008,"$137,500,000","$134,533,885","$263,144,885"
Hulk,6/20/2003,"$137,000,000","$132,177,234","$245,229,234"
Final Fantasy: The Spirits Within,7/11/2001,"$137,000,000","$32,131,830","$85,131,830"
"The Twilight Saga: Breaking Dawn, Part 2",11/16/2012,"$136,200,000","$292,324,737","$829,724,737"
The Croods,10/1/2012,"$135,000,000","$187,168,425","$573,068,425"
The Revenant,12/25/2015,"$135,000,000","$183,564,514","$526,364,514"
The World is Not Enough,11/19/1999,"$135,000,000","$126,930,660","$361,730,660"
Rango,3/4/2011,"$135,000,000","$123,257,581","$245,504,574"
Master and Commander: The Far Side of the World,11/14/2003,"$135,000,000","$93,926,386","$212,912,137"
Turbo,7/17/2013,"$135,000,000","$83,028,130","$286,896,578"
Happy Feet Two,11/18/2011,"$135,000,000","$64,006,466","$157,956,466"
Miami Vice,7/28/2006,"$135,000,000","$63,450,470","$163,790,188"
War of the Worlds,6/29/2005,"$132,000,000","$234,280,354","$606,836,535"
Penguins of Madagascar,11/26/2014,"$132,000,000","$83,350,911","$367,650,911"
The Hunger Games: Catching Fire,11/22/2013,"$130,000,000","$424,668,047","$864,868,047"
Harry Potter and the Prisoner of Azkaban,6/4/2004,"$130,000,000","$249,538,952","$796,688,549"
The Bourne Ultimatum,8/3/2007,"$130,000,000","$227,471,070","$442,161,562"
Kung Fu Panda,6/6/2008,"$130,000,000","$215,434,591","$631,910,531"
Ant-Man,7/17/2015,"$130,000,000","$180,202,163","$518,602,163"
Home,3/27/2015,"$130,000,000","$177,397,510","$386,085,953"
Puss in Boots,10/28/2011,"$130,000,000","$149,260,504","$554,987,477"
Megamind,11/5/2010,"$130,000,000","$148,415,853","$321,887,208"
Bad Boys II,7/18/2003,"$130,000,000","$138,540,870","$273,271,982"
Rio 2,4/11/2014,"$130,000,000","$131,538,435","$493,738,435"
Salt,7/23/2010,"$130,000,000","$118,311,368","$290,650,494"
Noah,3/28/2014,"$130,000,000","$101,200,044","$352,831,065"
The Adventures of Tintin,12/21/2011,"$130,000,000","$77,591,831","$373,993,951"
After Earth,5/31/2013,"$130,000,000","$60,522,097","$251,499,665"
Australia,11/26/2008,"$130,000,000","$49,554,002","$215,080,810"
R.I.P.D.,7/19/2013,"$130,000,000","$33,618,855","$79,072,464"
"The Twilight Saga: Breaking Dawn, Part 1",11/18/2011,"$127,500,000","$281,287,133","$689,420,051"
Dinosaur,5/19/2000,"$127,500,000","$137,748,063","$356,148,063"
Night at the Museum: Secret of the Tomb,12/19/2014,"$127,000,000","$113,746,621","$356,546,621"
Harry Potter and the Deathly Hallows: Part II,7/15/2011,"$125,000,000","$381,011,219","$1,341,511,219"
The Hunger Games: Mockingjay - Part 1,11/21/2014,"$125,000,000","$337,135,885","$766,652,288"
Harry Potter and the Sorcerers Stone,11/16/2001,"$125,000,000","$317,575,550","$974,755,371"
Pirates of the Caribbean: The Curse of the Black Pearl,7/9/2003,"$125,000,000","$305,411,224","$634,954,103"
Harry Potter and the Deathly Hallows: Part I,11/19/2010,"$125,000,000","$295,001,070","$959,301,070"
The Da Vinci Code,5/19/2006,"$125,000,000","$217,536,138","$767,820,459"
X2,5/2/2003,"$125,000,000","$214,949,694","$407,711,549"
Fast Five,4/29/2011,"$125,000,000","$209,837,675","$629,969,804"
Teenage Mutant Ninja Turtles,8/8/2014,"$125,000,000","$191,204,754","$485,004,754"
Sherlock Holmes: A Game of Shadows,12/16/2011,"$125,000,000","$186,848,418","$535,663,443"
The Day After Tomorrow,5/28/2004,"$125,000,000","$186,740,799","$556,319,450"
Clash of the Titans,4/1/2010,"$125,000,000","$163,214,888","$493,214,888"
Godzilla,5/19/1998,"$125,000,000","$136,142,003","$375,827,709"
Prometheus,6/8/2012,"$125,000,000","$126,477,084","$399,005,706"
The Bourne Legacy,8/10/2012,"$125,000,000","$113,203,870","$280,355,920"
Batman & Robin,6/20/1997,"$125,000,000","$107,308,328","$238,300,947"
Total Recall,8/3/2012,"$125,000,000","$58,877,969","$211,856,088"
The 13th Warrior,8/27/1999,"$125,000,000","$32,694,788","$61,694,788"
How the Grinch Stole Christmas,11/17/2000,"$123,000,000","$260,044,825","$345,141,403"
Mission: Impossible 2,5/24/2000,"$120,000,000","$215,409,889","$549,588,516"
The Perfect Storm,6/30/2000,"$120,000,000","$182,618,434","$328,711,434"
Fantastic Four: Rise of the Silver Surfer,6/15/2007,"$120,000,000","$131,921,738","$288,215,319"
Life of Pi,11/21/2012,"$120,000,000","$124,987,022","$607,987,022"
Ghost Rider,2/16/2007,"$120,000,000","$115,802,596","$229,545,589"
Charlie's Angels: Full Throttle,6/27/2003,"$120,000,000","$100,814,328","$227,200,000"
Elysium,8/9/2013,"$120,000,000","$93,050,117","$286,192,091"
Oblivion,4/19/2013,"$120,000,000","$89,107,235","$287,916,633"
Stuart Little 2,7/19/2002,"$120,000,000","$64,736,114","$165,779,308"
RoboCop,2/12/2014,"$120,000,000","$58,607,007","$242,981,799"
The Chronicles of Riddick,6/11/2004,"$120,000,000","$57,712,751","$107,212,751"
Fantastic Four,8/7/2015,"$120,000,000","$56,117,548","$167,117,548"
Speed Racer,5/9/2008,"$120,000,000","$43,945,766","$93,394,462"
The Island,7/22/2005,"$120,000,000","$35,818,913","$163,018,913"
How Do You Know?,12/17/2010,"$120,000,000","$30,212,620","$49,628,177"
Trolls,11/4/2016,"$120,000,000",$0,$0
Knight and Day,6/23/2010,"$117,000,000","$76,423,035","$258,751,370"
Star Wars Ep. I: The Phantom Menace,5/19/1999,"$115,000,000","$474,544,677","$1,027,044,677"
Star Wars Ep. III: Revenge of the Sith,5/19/2005,"$115,000,000","$380,270,577","$848,998,877"
Star Wars Ep. II: Attack of the Clones,5/16/2002,"$115,000,000","$302,181,125","$648,200,000"
"Monsters, Inc.",11/2/2001,"$115,000,000","$289,423,425","$559,757,719"
The Wolverine,7/26/2013,"$115,000,000","$132,556,852","$416,456,852"
Dante's Peak,2/7/1997,"$115,000,000","$67,155,742","$178,191,885"
Windtalkers,6/14/2002,"$115,000,000","$40,914,068","$77,628,265"
The Huntsman: Winters War,4/22/2016,"$115,000,000","$40,362,105","$146,262,105"
Asterix aux Jeux Olympiques,7/4/2008,"$113,500,000","$999,811","$132,999,811"
Gulliver's Travels,12/25/2010,"$112,000,000","$42,779,261","$232,017,848"
Gravity,10/4/2013,"$110,000,000","$274,092,705","$716,392,705"
Night at the Museum,12/22/2006,"$110,000,000","$250,863,268","$579,446,407"
Mr. and Mrs. Smith,6/10/2005,"$110,000,000","$186,336,279","$486,124,090"
San Andreas,5/29/2015,"$110,000,000","$155,190,832","$469,590,832"
The Smurfs,7/29/2011,"$110,000,000","$142,614,158","$563,749,323"
Live Free or Die Hard,6/27/2007,"$110,000,000","$134,529,403","$382,288,147"
The Divergent Series: Insurgent,3/20/2015,"$110,000,000","$130,179,072","$295,279,072"
Ocean's Twelve,12/10/2004,"$110,000,000","$125,531,634","$362,989,076"
Tomorrow Never Dies,12/19/1997,"$110,000,000","$125,279,326","$339,479,326"
The Patriot,6/28/2000,"$110,000,000","$113,330,342","$215,300,000"
300: Rise of an Empire,3/7/2014,"$110,000,000","$106,580,051","$330,780,051"
The Aviator,12/17/2004,"$110,000,000","$102,608,827","$208,370,892"
The Green Hornet,1/14/2011,"$110,000,000","$98,780,042","$229,155,503"
Real Steel,10/7/2011,"$110,000,000","$85,463,309","$263,880,341"
The A-Team,6/11/2010,"$110,000,000","$77,222,099","$177,241,171"
The Smurfs 2,7/31/2013,"$110,000,000","$71,017,784","$348,547,523"
The Divergent Series: Allegiant,3/18/2016,"$110,000,000","$65,722,466","$152,722,466"
The Taking of Pelham 123,6/12/2009,"$110,000,000","$65,452,312","$152,364,370"
Ender's Game,11/1/2013,"$110,000,000","$61,737,191","$89,737,191"
Home on the Range,4/2/2004,"$110,000,000","$50,026,353","$76,482,461"
Speed II: Cruise Control,6/13/1997,"$110,000,000","$48,068,396","$150,439,315"
Kingdom of Heaven,5/6/2005,"$110,000,000","$47,398,413","$218,853,353"
Around the World in 80 Days,6/16/2004,"$110,000,000","$24,004,159","$72,004,159"
The Lord of the Rings: The Fellowship of the Ring,12/19/2001,"$109,000,000","$315,544,750","$887,217,688"
The Cat in the Hat,11/21/2003,"$109,000,000","$101,018,283","$133,818,283"
Ali,12/25/2001,"$109,000,000","$58,183,966","$87,683,966"
The Martian,10/2/2015,"$108,000,000","$228,433,663","$640,048,094"
"I, Robot",7/16/2004,"$105,000,000","$144,795,350","$348,623,912"
Stuart Little,12/17/1999,"$105,000,000","$140,015,224","$298,815,224"
The Princess and the Frog,11/25/2009,"$105,000,000","$104,400,899","$270,997,378"
"10,000 B.C.",3/7/2008,"$105,000,000","$94,784,201","$269,065,678"
Town & Country,4/27/2001,"$105,000,000","$6,712,451","$10,364,769"
Gone in 60 Seconds,6/9/2000,"$103,300,000","$101,643,008","$232,643,008"
Gladiator,5/5/2000,"$103,000,000","$187,683,805","$457,683,805"
The Hangover 3,5/23/2013,"$103,000,000","$112,200,072","$362,000,072"
Public Enemies,7/1/2009,"$102,500,000","$97,104,620","$212,282,709"
Casino Royale,11/17/2006,"$102,000,000","$167,220,102","$594,275,385"
Minority Report,6/21/2002,"$102,000,000","$132,024,714","$358,824,714"
Cloud Atlas,10/26/2012,"$102,000,000","$27,108,272","$130,673,154"
Harry Potter and the Chamber of Secrets,11/15/2002,"$100,000,000","$261,987,880","$878,979,634"
Terminator 2: Judgment Day,7/2/1991,"$100,000,000","$201,858,746","$513,815,401"
Batman Forever,6/16/1995,"$100,000,000","$183,997,904","$336,495,936"
Planet of the Apes,7/27/2001,"$100,000,000","$180,011,740","$362,211,740"
National Treasure,11/19/2004,"$100,000,000","$173,005,002","$331,323,410"
Django Unchained,12/25/2012,"$100,000,000","$162,805,434","$449,948,323"
Little Fockers,12/22/2010,"$100,000,000","$148,438,600","$310,650,574"
True Lies,7/15/1994,"$100,000,000","$146,273,950","$365,291,539"
American Gangster,11/2/2007,"$100,000,000","$130,164,645","$267,985,456"
Cloudy with a Chance of Meatballs,9/18/2009,"$100,000,000","$124,870,275","$236,827,677"
The Other Guys,8/6/2010,"$100,000,000","$119,219,978","$170,936,470"
