Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
Pirates of the Caribbean: On Stranger Tides,5/20/2011,"$250,000,000","$241,063,875","$1,045,663,875","Action, Adventure, Fantasy",Rob Marshall,2 wins & 30 nominations.,6.7
Cars 2,6/24/2011,"$200,000,000","$191,450,875","$560,155,383","Animation, Adventure, Comedy","John Lasseter, Brad Lewis",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,6.3
Green Lantern,6/17/2011,"$200,000,000","$116,601,172","$231,201,172","Action, Adventure, Sci-Fi",Martin Campbell,2 wins & 5 nominations.,5.6
Transformers: Dark of the Moon,6/29/2011,"$195,000,000","$352,390,543","$1,123,790,543","Action, Adventure, Sci-Fi",Michael Bay,Nominated for 3 Oscars. Another 10 wins & 40 nominations.,6.3
Hugo,11/23/2011,"$180,000,000","$73,864,507","$180,047,784","Adventure, Drama, Family",Martin Scorsese,Won 5 Oscars. Another 53 wins & 165 nominations.,7.5
Cowboys & Aliens,7/29/2011,"$163,000,000","$100,240,551","$175,910,315","Comedy, Drama",Tomislav Mrsic,2 wins & 2 nominations.,7.2
X-Men: First Class,6/3/2011,"$160,000,000","$146,408,305","$355,408,305","Action, Adventure, Sci-Fi",Matthew Vaughn,20 wins & 35 nominations.,7.8
Thor,5/6/2011,"$150,000,000","$181,030,624","$449,326,618","Action, Adventure, Fantasy",Kenneth Branagh,5 wins & 29 nominations.,7.0
Kung Fu Panda 2,5/26/2011,"$150,000,000","$165,249,063","$664,837,547","Animation, Action, Adventure",Jennifer Yuh Nelson,Nominated for 1 Oscar. Another 5 wins & 44 nominations.,7.3
Mars Needs Moms,3/11/2011,"$150,000,000","$21,392,758","$39,549,758","Animation, Action, Adventure",Simon Wells,2 nominations.,5.4
Mission: ImpossibleGhost Protocol,12/16/2011,"$145,000,000","$209,397,903","$694,713,230","Action, Adventure, Thriller",Brad Bird,5 wins & 31 nominations.,7.4
Captain America: The First Avenger,7/22/2011,"$140,000,000","$176,654,505","$370,569,776","Action, Adventure, Sci-Fi",Joe Johnston,3 wins & 42 nominations.,6.8
Rango,3/4/2011,"$135,000,000","$123,257,581","$245,504,574","Animation, Adventure, Comedy",Gore Verbinski,Won 1 Oscar. Another 44 wins & 24 nominations.,7.2
Happy Feet Two,11/18/2011,"$135,000,000","$64,006,466","$157,956,466",Animation,N/A,N/A,N/A
Puss in Boots,10/28/2011,"$130,000,000","$149,260,504","$554,987,477","Animation, Action, Adventure",Chris Miller,Nominated for 1 Oscar. Another 7 wins & 41 nominations.,6.7
The Adventures of Tintin,12/21/2011,"$130,000,000","$77,591,831","$373,993,951","Animation, Action, Adventure",Steven Spielberg,Nominated for 1 Oscar. Another 22 wins & 59 nominations.,7.4
"The Twilight Saga: Breaking Dawn, Part 1",11/18/2011,"$127,500,000","$281,287,133","$689,420,051","Adventure, Drama, Fantasy",Bill Condon,11 wins & 21 nominations.,4.9
Harry Potter and the Deathly Hallows: Part II,7/15/2011,"$125,000,000","$381,011,219","$1,341,511,219","Action, Fantasy",Matt Birch,N/A,7.5
Fast Five,4/29/2011,"$125,000,000","$209,837,675","$629,969,804","Action, Crime, Thriller",Justin Lin,8 wins & 19 nominations.,7.3
Sherlock Holmes: A Game of Shadows,12/16/2011,"$125,000,000","$186,848,418","$535,663,443","Action, Adventure, Crime",Guy Ritchie,2 wins & 10 nominations.,7.5
The Smurfs,7/29/2011,"$110,000,000","$142,614,158","$563,749,323","Animation, Adventure, Comedy",Raja Gosnell,2 wins & 7 nominations.,5.5
The Green Hornet,1/14/2011,"$110,000,000","$98,780,042","$229,155,503","Action, Comedy, Crime",Michel Gondry,3 wins & 7 nominations.,5.9
