Title,Genre,Director,Awards,imdbRating
Avatar,"Action, Adventure, Fantasy",James Cameron,Won 3 Oscars. Another 77 wins & 114 nominations.,7.9
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Fantasy",J.J. Abrams,Nominated for 5 Oscars. Another 30 wins & 94 nominations.,8.3
Pirates of the Caribbean: At World's End,"Action, Adventure, Family",Gore Verbinski,Nominated for 2 Oscars. Another 20 wins & 41 nominations.,7.1
Spectre,"Action, Adventure, Thriller",Sam Mendes,Won 1 Oscar. Another 7 wins & 22 nominations.,6.9
The Dark Knight Rises,"Action, Thriller",Christopher Nolan,Nominated for 1 BAFTA Film Award. Another 38 wins & 99 nominations.,8.5
The Lone Ranger,"Action, Adventure, Western",Gore Verbinski,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,6.5
John Carter,"Action, Adventure, Sci-Fi",Andrew Stanton,2 wins & 7 nominations.,6.6
Tangled,"Animation, Adventure, Comedy","Nathan Greno, Byron Howard",Nominated for 1 Oscar. Another 9 wins & 38 nominations.,7.8
Spider-Man 3,"Action, Adventure",Sam Raimi,Nominated for 1 BAFTA Film Award. Another 3 wins & 31 nominations.,6.2
Man at Arms: Reforged Chitauri Scepter AKA Loki's Staff (The Avengers: Age of Ultron),Short,"Cj Schmidt, Andy Signore",N/A,N/A
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy",Zack Snyder,N/A,7.2
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",Peter Jackson,Nominated for 3 Oscars. Another 9 wins & 66 nominations.,7.9
Harry Potter and the Half-Blood Prince,"Adventure, Family, Fantasy",David Yates,Nominated for 1 Oscar. Another 8 wins & 29 nominations.,7.5
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",Peter Jackson,Nominated for 3 Oscars. Another 14 wins & 78 nominations.,7.9
The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",Peter Jackson,Nominated for 1 Oscar. Another 5 wins & 45 nominations.,7.5
Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",Rob Marshall,2 wins & 30 nominations.,6.7
Captain America: Civil War,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",N/A,8.2
Superman Returns,"Action, Adventure, Sci-Fi",Bryan Singer,Nominated for 1 Oscar. Another 12 wins & 38 nominations.,6.1
Quantum of Solace,"Action, Adventure",Marc Forster,Nominated for 2 BAFTA Film Awards. Another 4 wins & 29 nominations.,6.7
The Avengers,"Action, Adventure, Sci-Fi",Joss Whedon,Nominated for 1 Oscar. Another 36 wins & 77 nominations.,8.1
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Family",Gore Verbinski,Won 1 Oscar. Another 42 wins & 51 nominations.,7.3
Man of Steel,"Action, Adventure, Fantasy",Zack Snyder,7 wins & 42 nominations.,7.2
The Chronicles of Narnia: Prince Caspian,"Action, Adventure, Family",Andrew Adamson,2 wins & 19 nominations.,6.6
The Amazing Spider-Man,"Action, Adventure, Fantasy",Marc Webb,2 wins & 32 nominations.,7.0
Jurassic World,"Action, Adventure, Sci-Fi",Colin Trevorrow,4 wins & 50 nominations.,7.1
Men in Black 3,"Action, Comedy, Sci-Fi",Barry Sonnenfeld,1 win & 13 nominations.,6.8
Transformers: Revenge of the Fallen,"Action, Adventure, Sci-Fi",Michael Bay,Nominated for 1 Oscar. Another 13 wins & 25 nominations.,6.0
Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",Michael Bay,5 wins & 21 nominations.,5.7
X-Men: The Last Stand,"Action, Adventure, Sci-Fi",Brett Ratner,7 wins & 37 nominations.,6.8
Robin Hood,"Action, Adventure, Drama",Ridley Scott,1 win & 16 nominations.,6.7
Battleship,"Action, Adventure, Sci-Fi",Peter Berg,4 wins & 14 nominations.,5.9
King Kong,"Action, Adventure, Drama",Peter Jackson,Won 3 Oscars. Another 42 wins & 92 nominations.,7.2
The Golden Compass,"Adventure, Family, Fantasy",Chris Weitz,Won 1 Oscar. Another 4 wins & 32 nominations.,6.1
Titanic,"Drama, Romance",James Cameron,Won 11 Oscars. Another 109 wins & 73 nominations.,7.7
Toy Story 3,"Animation, Adventure, Comedy",Lee Unkrich,Won 2 Oscars. Another 56 wins & 85 nominations.,8.3
Iron Man 3,"Action, Adventure, Sci-Fi",Shane Black,Nominated for 1 Oscar. Another 17 wins & 52 nominations.,7.3
Spider-Man 2,"Action, Adventure, Fantasy",Sam Raimi,Won 1 Oscar. Another 23 wins & 54 nominations.,7.3
Alice in Wonderland,"Adventure, Family, Fantasy",Tim Burton,Won 2 Oscars. Another 30 wins & 60 nominations.,6.5
Skyfall,"Action, Adventure, Thriller",Sam Mendes,Won 2 Oscars. Another 63 wins & 113 nominations.,7.8
Monsters University,"Animation, Adventure, Comedy",Dan Scanlon,Nominated for 1 BAFTA Film Award. Another 9 wins & 53 nominations.,7.4
Oz the Great and Powerful,"Adventure, Family, Fantasy",Sam Raimi,5 wins & 31 nominations.,6.4
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",Bryan Singer,Nominated for 1 Oscar. Another 12 wins & 41 nominations.,8.0
The Amazing Spider-Man 2,"Action, Adventure, Fantasy",Marc Webb,3 wins & 28 nominations.,6.8
Cars 2,"Animation, Adventure, Comedy","John Lasseter, Brad Lewis",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,6.3
